PFAS (ng/L),Year,Atlantic Coast 1,Atlantic Coast 2,Atlantic Coast 3,Atlantic Coast 4,Atlantic Coast 5,Atlantic Coast 6,Atlantic Coast 7,Atlantic Coast 8,Atlantic Coast 9,Atlantic Coast 10,Atlantic Coast 11,ΣPFAS
PFBA,2019,0.2,0.4,3.5,0.2,7.3,0.2,0.3,0.3,0.5,0.2,0.2,13
,2021,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,2.8
PFBS,2019,0,0.6,9.2,0.2,10,0.2,0,0,0,0,0,20
,2021,0,0.5,0.3,0.3,0,0.3,0,0.3,0.4,0.2,0.4,2.3
PFPeA,2019,0,0,7.8,0,13,0,0,0,0,0,0,21
,2021,0,0,0,0,0,0,0,0,0,0,0,0
PFPeS,2019,0,0,6.6,0,6.8,0,0,0,0,0,0,13
,2021,0,0,0,0,0,0,0,0,0,0,0,0
PFHxA,2019,0.4,0.5,8.3,0.2,8.6,0.1,0.3,0.3,0.3,0.3,0.3,20
,2021,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.3,3.7
PFHxS,2019,0,0,19,0,15,0,0,0,0,0,0,34
,2021,0,0,0,0,3.8,0,0,0,0,0,0,3.8
PFHxPA,2019,0,0,20,0,19,0,0,0,0,0,0,40
,2021,0,0,0,0,3.2,2.5,0,0,0,0,0,5.7
PFHpA,2019,0,0,7.5,0,7.6,0,0,0,0.5,0,0.5,16
,2021,0,0,0,0,0.6,0,0,0,0,0,0,0.6
Oak 6,2019,0,0,0,0,0,0,0,0,0,0,0,0
,2021,0,0,0,0,0,0,0,0,0,0,0,0
PFHpS,2019,0,0,2.6,0,0.5,0,0,0,0,0,0,3.1
,2021,0,0,0,0,0,0,0,0,0,0,0,0
Syn 53,2019,0,0,0,0,0,0,0,0,0,0,0,0
,2021,0,0,0,0,0,0,3.6,0,2.1,0,0,5.7
P4MOA,2019,0,0,0,0,0,0,0,0,0,0,0,0
,2021,0,0,0,0,0,0,0,0,0,0,0,0
PFOA,2019,1.2,0.7,14,0.3,8,0.8,1.5,1.1,0.8,1.1,2.5,32
,2021,0.4,0.3,0.5,0.5,3.7,1.6,1.6,0.9,0.3,0.8,0.8,11.4
L-PFOS,2019,0,0,115,0,20,1.5,8.7,2.5,1.4,1.2,3.1,153
,2021,0.6,0,0,1.2,13,10,3.7,1.3,0,0.6,0,31
BrPFOS,2019,0,0,31,0,8.1,0,0.9,1,0,0,1.4,42
,2021,0,0,0,0,7.5,1.1,0,0,0,0,0,8.6
PFNA,2019,0,0.1,8.4,0,1.2,0.3,0.7,0.6,0.4,0.3,0.9,13
,2021,0,0,0.1,0.3,1.1,0.5,0.5,0.3,0.1,0.2,0.2,3.3
PFUdA,2019,0,0,0.7,0,0,0,0,0,0,0,0,0.7
,2021,0,0,0,0,0,0,0,0,0,0,0,0
PFDA,2019,0,0.2,3.7,0.3,0.5,0.3,0.4,0.2,0.3,0.4,0.5,6.9
,2021,0,0.2,0.2,0.6,0.7,0.3,0.5,0.4,0.3,0,0,3.2
PFDoA,2019,0,0,0.4,0,0,0,0,0,0,0,0,0.4
,2021,0,0,0,0.3,0,0,0,0,0,0,0,0.3
N-etFOSAA,2019,11,0,0,0,0,0,0,0,0,0,0,11
,2021,0,0,0,0,0,0,0,0,0,0,0,0
